Código,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
551001,ACTIVIDADES DE HOTELES,SI,1,SI
551002,ACTIVIDADES DE MOTELES,SI,1,SI
551003,ACTIVIDADES DE RESIDENCIALES PARA TURISTAS,SI,1,SI
551009,OTRAS ACTIVIDADES DE ALOJAMIENTO PARA TURISTAS N.C.P.,SI,1,SI
Código,"ACTIVIDADES DE CAMPAMENTOS, PARQUES DE VEHÍCULOS DE RECREO Y PARQUES DE CARAVANAS",Afecto a IVA,Categoría Tributaria,Disponible Internet
552000,ACTIVIDADES DE CAMPING Y DE PARQUES PARA CASAS RODANTES,SI,1,SI
Código,OTRAS ACTIVIDADES DE ALOJAMIENTO,Afecto a IVA,Categoría Tributaria,Disponible Internet
559001,ACTIVIDADES DE RESIDENCIALES PARA ESTUDIANTES Y TRABAJADORES,SI,1,SI
559009,OTRAS ACTIVIDADES DE ALOJAMIENTO N.C.P.,SI,1,SI
Código,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
561000,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,SI,1,SI
Código,SUMINISTRO DE COMIDAS POR ENCARGO Y OTRAS ACTIVIDADES DE SERVICIO DE COMIDAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
562100,SUMINISTRO DE COMIDAS POR ENCARGO (SERVICIOS DE BANQUETERÍA),SI,1,SI
562900,SUMINISTRO INDUSTRIAL DE COMIDAS POR ENCARGO; CONCESIÓN DE SERVICIOS DE ALIMENTACIÓN,SI,1,SI
Código,ACTIVIDADES DE SERVICIO DE BEBIDAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
563001,"ACTIVIDADES DE DISCOTECAS Y CABARET (NIGHT CLUB), CON PREDOMINIO DEL SERVICIO DE BEBIDAS",SI,1,SI
563009,OTRAS ACTIVIDADES DE SERVICIO DE BEBIDAS N.C.P.,SI,1,SI
