Código,ALQUILER Y ARRENDAMIENTO DE VEHÍCULOS AUTOMOTORES,Afecto a IVA,Categoría Tributaria,Disponible Internet
771000,ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER,SI,1,S
Código,ALQUILER Y ARRENDAMIENTO DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
772100,ALQUILER Y ARRENDAMIENTO DE EQUIPO RECREATIVO Y DEPORTIVO,SI,1,SI
772200,ALQUILER DE CINTAS DE VIDEO Y DISCOS,SI,1,SI
772900,ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS),SI,1,SI
Código,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",Afecto a IVA,Categoría Tributaria,Disponible Internet
773001,"ALQUILER DE EQUIPOS DE TRANSPORTE SIN OPERARIO, EXCEPTO VEHÍCULOS AUTOMOTORES",SI,1,SI
773002,"ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCIÓN E ING. CIVIL, SIN OPERARIOS",SI,1,SI
773003,"ALQUILER DE MAQUINARIA Y EQUIPO DE OFICINA, SIN OPERARIOS (SIN SERVICIO ADMINISTRATIVO)",SI,1,SI
773009,ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.,SI,1,SI
Código,"ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR",Afecto a IVA,Categoría Tributaria,Disponible Internet
774000,"ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR",N,1,SI
Código,ACTIVIDADES DE AGENCIAS DE EMPLEO,Afecto a IVA,Categoría Tributaria,Disponible Internet
781000,ACTIVIDADES DE AGENCIAS DE EMPLEO,SI,1,SI
Código,ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL,Afecto a IVA,Categoría Tributaria,Disponible Internet
782000,ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL (INCLUYE EMPRESAS DE SERVICIOS TRANSITORIOS),SI,1,SI
