Código,VENTA DE VEHÍCULOS AUTOMOTORES,Afecto a IVA,Categoría Tributaria,Disponible Internet
451001,VENTA AL POR MAYOR DE VEHÍCULOS AUTOMOTORES,SI,1,SI
451002,VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA),SI,1,SI
Código,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,Afecto a IVA,Categoría Tributaria,Disponible Internet
452001,SERVICIO DE LAVADO DE VEHÍCULOS AUTOMOTORES,G,1,SI
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,G,1,SI
Código,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",Afecto a IVA,Categoría Tributaria,Disponible Internet
453000,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",SI,1,SI
Código,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y SUS PARTES, PIEZAS Y ACCESORIOS",Afecto a IVA,Categoría Tributaria,Disponible Internet
454001,VENTA DE MOTOCICLETAS,SI,1,SI
454002,"VENTA DE PARTES, PIEZAS Y ACCESORIOS DE MOTOCICLETAS",SI,1,SI
454003,MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS,G,1,SI
Código,VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,Afecto a IVA,Categoría Tributaria,Disponible Internet
461001,CORRETAJE AL POR MAYOR DE PRODUCTOS AGRÍCOLAS,SI,1,SI
461002,CORRETAJE AL POR MAYOR DE GANADO,SI,1,SI
461009,OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR N.C.P.,SI,1,SI
Código,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
462010,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS,SI,1,SI
462020,VENTA AL POR MAYOR DE ANIMALES VIVOS,SI,1,SI
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,SI,1,SI
Código,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO",Afecto a IVA,Categoría Tributaria,Disponible Internet
463011,VENTA AL POR MAYOR DE FRUTAS Y VERDURAS,SI,1,SI
463012,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS,SI,1,SI
463013,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)",SI,1,SI
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,SI,1,SI
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",SI,1,SI
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,SI,1,SI
463030,VENTA AL POR MAYOR DE TABACO,SI,1,SI
Código,VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",SI,1,SI
464901,"VENTA AL POR MAYOR DE MUEBLES, EXCEPTO MUEBLES DE OFICINA",SI,1,SI
464902,VENTA AL POR MAYOR DE ARTÍCULOS ELÉCTRICOS Y ELECTRÓNICOS PARA EL HOGAR,SI,1,SI
464903,"VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, DE TOCADOR Y COSMÉTICOS",SI,1,SI
464904,VENTA AL POR MAYOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO,SI,1,SI
464905,VENTA AL POR MAYOR DE LIBROS,SI,1,SI
464906,VENTA AL POR MAYOR DE DIARIOS Y REVISTAS,SI,1,SI
464907,VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES,SI,1,SI
464908,VENTA AL POR MAYOR DE INSTRUMENTOS CIENTÍFICOS Y QUIRÚRGICOS,SI,1,SI
464909,VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS N.C.P.,SI,1,SI
Código,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Afecto a IVA,Categoría Tributaria,Disponible Internet
465100,"VENTA AL POR MAYOR DE COMPUTADORES, EQUIPO PERIFÉRICO Y PROGRAMAS INFORMÁTICOS",SI,1,SI
465200,"VENTA AL POR MAYOR DE EQUIPO, PARTES Y PIEZAS ELECTRÓNICOS Y DE TELECOMUNICACIONES",SI,1,SI
465300,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS",SI,1,SI
465901,"VENTA AL POR MAYOR DE MAQUINARIA METALÚRGICA, PARA LA MINERÍA, EXTRACCIÓN DE PETRÓLEO Y CONSTRUCCIÓN",SI,1,SI
465902,"VENTA AL POR MAYOR DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",SI,1,SI
465903,"VENTA AL POR MAYOR DE MAQUINARIA PARA LA INDUSTRIA TEXTIL, DEL CUERO Y DEL CALZADO",SI,1,SI
465904,VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO DE OFICINA; VENTA AL POR MAYOR DE MUEBLES DE OFICINA,SI,1,SI
465905,"VENTA AL POR MAYOR DE EQUIPO DE TRANSPORTE(EXCEPTO VEHÍCULOS AUTOMOTORES, MOTOCICLETAS Y BICICLETAS)",SI,1,SI
465909,VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO N.C.P.,SI,1,SI
Código,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Afecto a IVA,Categoría Tributaria,Disponible Internet
466100,"VENTA AL POR MAYOR DE COMBUSTIBLES SÓLIDOS, LÍQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS",SI,1,SI
466200,VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS,SI,1,SI
466301,VENTA AL POR MAYOR DE MADERA EN BRUTO Y PRODUCTOS PRIMARIOS DE LA ELABORACIÓN DE MADERA,SI,1,SI
466302,"VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA, GASFITERÍA Y CALEFACCIÓN",SI,1,SI
466901,VENTA AL POR MAYOR DE PRODUCTOS QUÍMICOS,SI,1,SI
466902,VENTA AL POR MAYOR DE DESECHOS METÁLICOS (CHATARRA),SI,1,SI
466909,"VENTA AL POR MAYOR DE DESPERDICIOS, DESECHOS Y OTROS PRODUCTOS N.C.P.",SI,1,NO
