Código,EDICIÓN DE LIBROS Y PUBLICACIONES PERIÓDICAS Y OTRAS ACTIVIDADES DE EDICIÓN,Afecto a IVA,Categoría Tributaria,Disponible Internet
581100,EDICIÓN DE LIBROS,SI,1,SI
581200,EDICIÓN DE DIRECTORIOS Y LISTAS DE CORREO,SI,1,SI
581300,"EDICIÓN DE DIARIOS, REVISTAS Y OTRAS PUBLICACIONES PERIÓDICAS",SI,1,SI
581900,OTRAS ACTIVIDADES DE EDICIÓN,SI,1,SI
Código,EDICIÓN DE PROGRAMAS INFORMÁTICOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
582000,EDICIÓN DE PROGRAMAS INFORMÁTICOS,SI,1,SI
Código,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VIDEOS Y PROGRAMAS DE TELEVISIÓN",Afecto a IVA,Categoría Tributaria,Disponible Internet
591100,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VIDEOS Y PROGRAMAS DE TELEVISIÓN",G,1,SI
591200,"ACTIVIDADES DE POSTPRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VIDEOS Y PROGRAMAS DE TELEVISIÓN",G,1,SI
591300,"ACTIVIDADES DE DISTRIBUCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VIDEOS Y PROGRAMAS DE TELEVISIÓN",SI,1,SI
591400,ACTIVIDADES DE EXHIBICIÓN DE PELÍCULAS CINEMATOGRÁFICAS Y CINTAS DE VIDEO,SI,1,SI
Código,ACTIVIDADES DE GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA,Afecto a IVA,Categoría Tributaria,Disponible Internet
592000,ACTIVIDADES DE GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA,SI,1,SI
Código,TRANSMISIONES DE RADIO,Afecto a IVA,Categoría Tributaria,Disponible Internet
601000,TRANSMISIONES DE RADIO,G,1,SI
Código,PROGRAMACIÓN Y TRANSMISIONES DE TELEVISIÓN,Afecto a IVA,Categoría Tributaria,Disponible Internet
602000,PROGRAMACIÓN Y TRANSMISIONES DE TELEVISIÓN,G,1,SI
Código,ACTIVIDADES DE TELECOMUNICACIONES ALÁMBRICAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
611010,TELEFONÍA FIJA,SI,1,SI
611020,TELEFONÍA LARGA DISTANCIA,SI,1,SI
611030,TELEVISIÓN DE PAGO POR CABLE,SI,1,SI
611090,OTROS SERVICIOS DE TELECOMUNICACIONES ALÁMBRICAS N.C.P.,SI,1,SI
Código,ACTIVIDADES DE TELECOMUNICACIONES INALÁMBRICAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
612010,TELEFONÍA MÓVIL CELULAR,SI,1,SI
612020,RADIOCOMUNICACIONES MÓVILES,SI,1,SI
612030,TELEVISIÓN DE PAGO INALÁMBRICA,SI,1,SI
612090,OTROS SERVICIOS DE TELECOMUNICACIONES INALÁMBRICAS N.C.P.,SI,1,SI
Código,ACTIVIDADES DE TELECOMUNICACIONES POR SATÉLITE,Afecto a IVA,Categoría Tributaria,Disponible Internet
613010,TELEFONÍA MÓVIL SATELITAL,SI,1,SI
613020,TELEVISIÓN DE PAGO SATELITAL,SI,1,SI
613090,OTROS SERVICIOS DE TELECOMUNICACIONES POR SATÉLITE N.C.P.,SI,1,SI
Código,OTRAS ACTIVIDADES DE TELECOMUNICACIONES,Afecto a IVA,Categoría Tributaria,Disponible Internet
619010,CENTROS DE LLAMADOS Y CENTROS DE ACCESO A INTERNET,SI,1,SI
619090,OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,SI,1,SI
Código,"ACTIVIDADES DE PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA INFORMÁTICA Y ACTIVIDADES CONEXAS",Afecto a IVA,Categoría Tributaria,Disponible Internet
620100,ACTIVIDADES DE PROGRAMACIÓN INFORMÁTICA,NO,2,SI
620200,ACTIVIDADES DE CONSULTORÍA DE INFORMÁTICA Y DE GESTIÓN DE INSTALACIONES INFORMÁTICAS,G,1,SI
620900,OTRAS ACTIVIDADES DE TECNOLOGÍA DE LA INFORMACIÓN Y DE SERVICIOS INFORMÁTICOS,G,1,SI
Código,"PROCESAMIENTO DE DATOS, HOSPEDAJE Y ACTIVIDADES CONEXAS; PORTALES WEB",Afecto a IVA,Categoría Tributaria,Disponible Internet
631100,"PROCESAMIENTO DE DATOS, HOSPEDAJE Y ACTIVIDADES CONEXAS",G,1,SI
631200,PORTALES WEB,G,1,SI
Código,OTRAS ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,Afecto a IVA,Categoría Tributaria,Disponible Internet
639100,ACTIVIDADES DE AGENCIAS DE NOTICIAS,G,1,SI
639900,OTRAS ACTIVIDADES DE SERVICIOS DE INFORMACIÓN N.C.P.,SI,1,SI
