Código,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",Afecto a IVA,Categoría Tributaria,Disponible Internet
360000,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",G,1,SI
Código,EVACUACIÓN DE AGUAS RESIDUALES,Afecto a IVA,Categoría Tributaria,Disponible Internet
370000,EVACUACIÓN Y TRATAMIENTO DE AGUAS SERVIDAS,SI,1,SI
Código,RECOGIDA DE DESECHOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
381100,RECOGIDA DE DESECHOS NO PELIGROSOS,SI,1,SI
381200,RECOGIDA DE DESECHOS PELIGROSOS,SI,1,SI
Código,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
382100,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS NO PELIGROSOS,SI,1,SI
382200,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS PELIGROSOS,SI,1,SI
Código,RECUPERACIÓN DE MATERIALES,Afecto a IVA,Categoría Tributaria,Disponible Internet
383001,RECUPERACIÓN Y RECICLAMIENTO DE DESPERDICIOS Y DESECHOS METÁLICOS,SI,1,SI
383002,RECUPERACIÓN Y RECICLAMIENTO DE PAPEL,SI,1,SI
383003,RECUPERACIÓN Y RECICLAMIENTO DE VIDRIO,SI,1,SI
383009,RECUPERACIÓN Y RECICLAMIENTO DE OTROS DESPERDICIOS Y DESECHOS N.C.P.,SI,1,SI
Código,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
390000,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,SI,1,SI
