Código,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA",Afecto a IVA,Categoría Tributaria,Disponible Internet
351011,GENERACIÓN DE ENERGÍA ELÉCTRICA EN CENTRALES HIDROELÉCTRICAS,SI,1,SI
351012,GENERACIÓN DE ENERGÍA ELÉCTRICA EN CENTRALES TERMOELÉCTRICAS,SI,1,SI
351019,GENERACIÓN DE ENERGÍA ELÉCTRICA EN OTRAS CENTRALES N.C.P.,SI,1,SI
351020,TRANSMISIÓN DE ENERGÍA ELÉCTRICA,SI,1,SI
351030,DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,SI,1,SI
Código,FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
352010,REGASIFICACIÓN DE GAS NATURAL LICUADO (GNL),SI,1,SI
352020,"FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍA, EXCEPTO REGASIFICACIÓN DE GNL",SI,1,SI
Código,SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO,Afecto a IVA,Categoría Tributaria,Disponible Internet
353001,SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO,SI,1,SI
353002,ELABORACIÓN DE HIELO (EXCEPTO FABRICACIÓN DE HIELO SECO),SI,1,SI
