Código,TRANSPORTE POR FERROCARRIL,Afecto a IVA,Categoría Tributaria,Disponible Internet
491100,TRANSPORTE INTERURBANO DE PASAJEROS POR FERROCARRIL,NO,1,SI
491200,TRANSPORTE DE CARGA POR FERROCARRIL,SI,1,SI
Código,OTRAS ACTIVIDADES DE TRANSPORTE POR VÍA TERRESTRE,Afecto a IVA,Categoría Tributaria,Disponible Internet
492110,TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VÍA METRO Y METROTREN,NO,1,SI
492120,TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VÍA LOCOMOCIÓN COLECTIVA,NO,1,SI
492130,TRANSPORTE DE PASAJEROS VÍA TAXI COLECTIVO,NO,1,SI
492190,OTRAS ACTIVIDADES DE TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE N.C.P.,NO,1,SI
492210,SERVICIOS DE TRANSPORTE DE ESCOLARES,NO,1,SI
492220,SERVICIOS DE TRANSPORTE DE TRABAJADORES,NO,1,SI
492230,SERVICIOS DE TRANSPORTE DE PASAJEROS EN TAXIS LIBRES Y RADIOTAXIS,NO,1,SI
492240,SERVICIOS DE TRANSPORTE A TURISTAS,NO,1,SI
492250,TRANSPORTE DE PASAJEROS EN BUSES INTERURBANOS,NO,1,SI
492290,OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE N.C.P.,NO,1,SI
492300,TRANSPORTE DE CARGA POR CARRETERA,SI,1,SI
Código,TRANSPORTE POR TUBERÍAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
493010,TRANSPORTE POR OLEODUCTOS,SI,1,SI
493020,TRANSPORTE POR GASODUCTOS,SI,1,SI
493090,OTRAS ACTIVIDADES DE TRANSPORTE POR TUBERÍAS N.C.P.,SI,1,SI
Código,TRANSPORTE MARÍTIMO Y DE CABOTAJE,Afecto a IVA,Categoría Tributaria,Disponible Internet
501100,TRANSPORTE DE PASAJEROS MARÍTIMO Y DE CABOTAJE,NO,1,SI
501200,TRANSPORTE DE CARGA MARÍTIMO Y DE CABOTAJE,SI,1,SI
Código,TRANSPORTE POR VÍAS DE NAVEGACIÓN INTERIORES,Afecto a IVA,Categoría Tributaria,Disponible Internet
502100,TRANSPORTE DE PASAJEROS POR VÍAS DE NAVEGACIÓN INTERIORES,NO,1,SI
502200,TRANSPORTE DE CARGA POR VÍAS DE NAVEGACIÓN INTERIORES,SI,1,SI
Código,TRANSPORTE DE PASAJEROS POR VÍA AÉREA,Afecto a IVA,Categoría Tributaria,Disponible Internet
511000,TRANSPORTE DE PASAJEROS POR VÍA AÉREA,NO,1,SI
Código,TRANSPORTE DE CARGA POR VÍA AÉREA,Afecto a IVA,Categoría Tributaria,Disponible Internet
512000,TRANSPORTE DE CARGA POR VÍA AÉREA,SI,1,SI
Código,ALMACENAMIENTO Y DEPÓSITO,Afecto a IVA,Categoría Tributaria,Disponible Internet
521001,EXPLOTACIÓN DE FRIGORÍFICOS PARA ALMACENAMIENTO Y DEPÓSITO,SI,1,SI
521009,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO N.C.P.,SI,1,SI
Código,ACTIVIDADES DE APOYO AL TRANSPORTE,Afecto a IVA,Categoría Tributaria,Disponible Internet
522110,EXPLOTACIÓN DE TERMINALES TERRESTRES DE PASAJEROS,SI,1,SI
522120,EXPLOTACIÓN DE ESTACIONAMIENTOS DE VEHÍCULOS AUTOMOTORES Y PARQUÍMETROS,SI,1,SI
522130,SERVICIOS PRESTADOS POR CONCESIONARIOS DE CARRETERAS,SI,1,SI
522190,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE TERRESTRE N.C.P.,SI,1,SI
522200,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUÁTICO,SI,1,SI
522300,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE AÉREO,SI,1,SI
522400,MANIPULACIÓN DE LA CARGA,SI,1,SI
522910,AGENCIAS DE ADUANAS,G,1,SI
522920,AGENCIAS DE NAVES,G,1,SI
522990,OTRAS ACTIVIDADES DE APOYO AL TRANSPORTE N.C.P.,G,1,SI
Código,ACTIVIDADES POSTALES,Afecto a IVA,Categoría Tributaria,Disponible Internet
531000,ACTIVIDADES POSTALES,G,1,SI
Código,ACTIVIDADES DE MENSAJERÍA,Afecto a IVA,Categoría Tributaria,Disponible Internet
532000,ACTIVIDADES DE MENSAJERÍA,G,1,SI
